"number","title","pageid","namespace","length","touched"
"451","Category:Cluster_computing","8963884","Category","121","20190620095244"
"452","Category:Perl_modules","8999303","Category","90","20190320202631"
"453","Category:XML_editors","8999525","Category","93","20190524060729"
"454","Category:XML_data_access","8999721","Category","109","20180427142031"
"455","Category:Process.h","9001132","Category","159","20180402042321"
"456","Category:Australian_computer_programmers","9093371","Category","319","20190620095248"
"457","Category:Computational_statistics","9272793","Category","148","20190320202631"
"458","Category:Ubiquitous_computing","9273732","Category","124","20190410001004"
"459","Category:Generic_programming","9295809","Category","113","20190320202631"
"460","Category:Accessibility_API","9346877","Category","218","20180416101615"
"461","Category:Hash_functions","9365958","Category","92","20190320202631"
"462","Category:Data_modeling_languages","9521010","Category","181","20190306103910"
"463","Category:GNOME_developers","9577342","Category","291","20190620095258"
"464","Category:Multivariate_interpolation","9579598","Category","67","20190320202631"
"465","Category:Computer_programming_tool_stubs","9622632","Category","263","20190609232211"
"466","Category:Unix_text_editors","9697421","Category","96","20190322192710"
"467","Category:Computer_animation_people","9735379","Category","261","20190412004605"
"468","Category:String_similarity_measures","9833053","Category","237","20190621164555"
"469","Category:Finite_element_method","9909579","Category","225","20190529113819"
"470","Category:Molecular_modelling_software","10121602","Category","234","20190624064140"
"471","Category:Distributed_computing_projects","10141883","Category","473","20190507195805"
"472","Category:Linux_integrated_development_environments","10144248","Category","299","20190620095315"
"473","Category:Molecular_dynamics_software","10187763","Category","324","20190624062446"
"474","Category:Microformats","10220551","Category","282","20190620095319"
"475","Category:Notepad_replacements","10342639","Category","33","20190127094858"
"476","Category:Atmospheric_radiative_transfer_codes","10415019","Category","129","20170826021250"
"477","Category:Prolog_programming_language_family","10484063","Category","236","20190429233851"
"478","Category:Adobe_Flex","10537897","Category","169","20190620095329"
"479","Category:Disassemblers","10571038","Category","655","20190320202632"
"480","Category:Service-oriented_(business_computing)","10623262","Category","299","20190620095331"
"481","Category:Italian_computer_programmers","10731904","Category","194","20190516175232"
"482","Category:Diskless_workstations","10736144","Category","207","20190320202632"
"483","Category:Load_testing_tools","10865960","Category","251","20181201133802"
"484","Category:Computational_fluid_dynamics","10871076","Category","237","20190625010803"
"485","Category:Declarative_markup_languages","10891201","Category","76","20190613214759"
"486","Category:Gnutella","10929470","Category","60","20190620095339"
"487","Category:Complex_systems_theory","10955733","Category","250","20190602223601"
"488","Category:Control_flow","10973104","Category","191","20190529113856"
"489","Category:Conditional_constructs","10974311","Category","112","20190529113857"
"490","Category:SGI_people","11035607","Category","292","20190521152856"
"491","Category:Structural_analysis","11036106","Category","273","20190620095342"
"492","Category:Unicode_algorithms","11068908","Category","176","20190403020805"
"493","Category:Object_models","11184079","Category","115","20190320202633"
"494","Category:Video_compression","11204075","Category","319","20190620095346"
"495","Category:Semiempirical_quantum_chemistry_methods","11220529","Category","156","20171230111918"
"496","Category:Free_software_programmed_in_C","11241711","Category","233","20190620181419"
"497","Category:Free_software_programmed_in_C++","11241742","Category","241","20190624143454"
"498","Category:Free_software_programmed_in_Lisp","11241765","Category","236","20190516181722"
"499","Category:Free_software_programmed_in_Python","11241781","Category","258","20190620095347"
"500","Category:Argument_maps","11253033","Category","144","20190620095347"
"501","Category:Code_search_engines","11253773","Category","222","20190624120401"
"502","Category:Grouping","11284359","Category","99","20190609061822"
"503","Category:Debugging_data_formats","11335027","Category","94","20190406035429"
"504","Category:Higher-order_functions","11335444","Category","96","20190320202633"
"505","Category:Wikis","11361657","Category","316","20190620095350"
"506","Category:Color_codes","11372130","Category","138","20190620095350"
"507","Category:Audio_electronics","11387266","Category","187","20190623212601"
"508","Category:User_interface_builders","11455896","Category","134","20190320202633"
"509","Category:Argument_mapping","11461295","Category","129","20190320202633"
"510","Category:Free_software_programmed_in_Java_(programming_language)","11468473","Category","333","20190623000536"
"511","Category:Free_audio_editors","11470940","Category","532","20190516181739"
"512","Category:Natural_language_parsing","11477260","Category","169","20190620095354"
"513","Category:Combinatory_logic","11504496","Category","294","20190320202633"
"514","Category:Sorting_algorithms","11604026","Category","151","20190623002011"
"515","Category:ADO.NET_Data_Access_technologies","11927354","Category","65","20190522075015"
"516","Category:Anti-stuttering_devices","11976279","Category","232","20180401172743"
"517","Category:Networking_algorithms","12026628","Category","108","20190403020626"
"518","Category:Ambient_intelligence","12069624","Category","191","20190325101711"
"519","Category:Python_web_frameworks","12101442","Category","817","20190610171504"
"520","Category:Subversion","12118809","Category","121","20190621150350"
"521","Category:Hashing","12163172","Category","93","20190620095415"
"522","Category:Free_software_by_programming_language","12180074","Category","175","20190620095416"
"523","Category:Semantic_desktop","12251078","Category","97","20190320202635"
"524","Category:Members_of_the_British_Computer_Society","12253991","Category","439","20181221093417"
"525","Category:Software_by_programming_language","12276218","Category","135","20190624212713"
"526","Category:Audio_libraries","12360667","Category","96","20190513154642"
"527","Category:Modula-2_compilers","12401146","Category","46","20190130160339"
"528","Category:Online_sorts","12617708","Category","195","20190224124710"
"529","Category:Motion_in_computer_vision","12766413","Category","576","20190625082158"
"530","Category:Python_implementations","12809948","Category","58","20190612052206"
"531","Category:Concept_mapping_software","12844083","Category","106","20190320202635"
"532","Category:YouTube","12850071","Category","361","20190621082811"
"533","Category:Computer_library_stubs","12908863","Category","166","20190606205021"
"534","Category:Artificial_intelligence_conferences","12932492","Category","273","20181223002953"
"535","Category:ISBN_agencies","12963694","Category","221","20190221020721"
"536","Category:Parser_generators","12989064","Category","94","20181202130033"
"537","Category:Haskell_implementations","12989068","Category","86","20180421181252"
"538","Category:Ecosystems","13273551","Category","211","20190620095457"
"539","Category:Page_description_markup_languages","13273941","Category","116","20190320202637"
"540","Category:Dutch_computer_programmers","13284645","Category","323","20190620095457"
"541","Category:Austrian_computer_programmers","13284704","Category","199","20190530200430"
"542","Category:PHP","13379917","Category","233","20190620095500"
"543","Category:PDF_software","13391267","Category","159","20190618143521"
"544","Category:Unit_testing_frameworks","13449170","Category","248","20190613134143"
"545","Category:Denotational_semantics","13513601","Category","351","20190320202638"
"546","Category:Interpreters_(computing)","13520045","Category","48","20190612050726"
"547","Category:English_computer_programmers","13620479","Category","153","20190506210136"
"548","Category:Windows_audio","13642558","Category","113","20170503234255"
"549","Category:Windows_services","13642560","Category","133","20190320202638"
"550","Category:Open_Group_standards","13768722","Category","204","20190620095513"
"551","Category:Actuators","13799989","Category","111","20190621201748"
"552","Category:Distributed_computing_conferences","13807899","Category","329","20180420051124"
"553","Category:Data_modeling_diagrams","13911262","Category","76","20190417070603"
"554","Category:Common_Lisp","13950927","Category","79","20190620095518"
"555","Category:Common_Lisp_publications","13951334","Category","388","20190427091345"
"556","Category:Computer_graphics_researchers","13992094","Category","233","20190405023223"
"557","Category:Priority_queues","14104064","Category","91","20190320202639"
"558","Category:Web_desktops","14197132","Category","485","20190320202639"
"559","Category:Distributed_file_systems","14263463","Category","427","20190504060111"
"560","Category:Agreement_algorithms","14271585","Category","35","20180416111609"
"561","Category:Mathematical_optimization_software","14312910","Category","114","20190519175815"
"562","Category:Free_spreadsheet_software","14377609","Category","502","20190516182130"
"563","Category:Theorem_proving_software_systems","14417843","Category","152","20181113174148"
"564","Category:Spreadsheet_software","14595434","Category","321","20190620095534"
"565","Category:Online_spreadsheets","14595870","Category","101","20190515215647"
"566","Category:Fortran_compilers","14632316","Category","77","20171113111804"
"567","Category:New_Zealand_computer_programmers","14644595","Category","178","20170408150435"
"568","Category:Go_software","14660244","Category","248","20190312133227"
"569","Category:UNESCO_nomenclature","14760202","Category","241","20190521235148"
"570","Category:Advanced_Linux_Sound_Architecture","14788519","Category","243","20190620095543"
"571","Category:Domain_theory","14821261","Category","113","20190320202640"
"572","Category:Lisp_software","14844815","Category","45","20181028200217"
"573","Category:Microsoft_application_programming_interfaces","14892859","Category","311","20181022130239"
"574","Category:Visualization_(graphic)","15165316","Category","245","20190620095555"
"575","Category:Computer-aided_software_engineering_tools","15189720","Category","118","20190403065950"
"576","Category:Graph_data_structures","15237683","Category","138","20190529114136"
"577","Category:Cluster_analysis_algorithms","15325165","Category","167","20181217214937"
"578","Category:Linked_lists","15349090","Category","98","20190620095604"
"579","Category:Artificial_immune_systems","15358447","Category","188","20190320202641"
"580","Category:Speaker_recognition","15445826","Category","29","20190114032317"
"581","Category:Geographic_information_systems","15460144","Category","285","20190620095616"
"582","Category:Common_Lisp_software","15493360","Category","280","20181204172107"
"583","Category:Kernel_programmers","15514243","Category","73","20190303033145"
"584","Category:High_Integrity_Programming_Language","15544544","Category","104","20180421200816"
"585","Category:Java_development_tools","15756842","Category","234","20190401145719"
"586","Category:Computer_graphics_algorithms","15847454","Category","229","20190620095704"
"587","Category:Concurrent_algorithms","15913343","Category","198","20190529114236"
"588","Category:Internet_search_algorithms","15913892","Category","242","20190607100959"
"589","Category:Video_processing","15951944","Category","194","20190620095726"
"590","Category:Distributed_algorithms","15970362","Category","202","20190608160349"
"591","Category:XML_databases","15984370","Category","84","20190320202652"
"592","Category:Ecma_standards","16135880","Category","230","20181002031433"
"593","Category:Memory_management_algorithms","16143225","Category","102","20190403020031"
"594","Category:Domain_decomposition_methods","16230266","Category","612","20190320202653"
"595","Category:Concurrent_programming_libraries","16395912","Category","135","20180415041407"
"596","Category:Compiler_structures","16487927","Category","86","20160622085318"
"597","Category:Reactive_programming_languages","16506933","Category","129","20160911072853"
"598","Category:Process_(computing)","16507823","Category","100","20190529114307"
"599","Category:Computer_graphics_data_structures","16510463","Category","190","20181007120030"
"600","Category:Experimental_programming_languages","16645069","Category","240","20180403052503"
"601","Category:Curses_(programming_library)","16648240","Category","348","20190320202653"
"602","Category:S-Lang_(programming_library)","16648342","Category","216","20190320202653"
"603","Category:Database_algorithms","16654862","Category","151","20181209060014"
"604","Category:Bioinformatics_algorithms","16659854","Category","120","20190529114310"
"605","Category:Calendar_algorithms","16660451","Category","119","20181010145426"
"606","Category:Online_algorithms","16661272","Category","54","20190403020135"
"607","Category:Irish_computer_programmers","16788585","Category","253","20190620095754"
"608","Category:Triplestores","16825466","Category","95","20190320202653"
"609","Category:Associative_arrays","17005878","Category","51","20190312133609"
"610","Category:ASP.NET","17024538","Category","125","20190513071438"
"611","Category:Bit_data_structures","17133530","Category","116","20180628025118"
"612","Category:Free_software_programmed_in_Objective-C","17140461","Category","187","20190516182716"
"613","Category:Categorical_data","17179027","Category","48","20190320202653"
"614","Category:Statistical_data_types","17193061","Category","154","20190620095803"
"615","Category:Free_software_programmed_in_C_Sharp","17287626","Category","197","20190428214111"
"616","Category:Free_software_programmed_in_Fortran","17288682","Category","227","20190516182726"
"617","Category:Free_software_programmed_in_Perl","17304119","Category","269","20190621150447"
"618","Category:Statistical_classification","17306305","Category","145","20190529114332"
"619","Category:Concurrent_Versions_System","17322751","Category","36","20190421210757"
"620","Category:Botnets","17338200","Category","154","20190620024945"
"621","Category:Extreme_value_data","17402463","Category","35","20181128085409"
"622","Category:Runge–Kutta_methods","17470319","Category","81","20190320202653"
"623","Category:Operating_system_APIs","17494760","Category","121","20190620095812"
"624","Category:Self-hosting_software","17495510","Category","99","20190528195458"
"625","Category:People_associated_with_the_finite_element_method","17519624","Category","66","20171011204632"
"626","Category:Computer_systems_engineers","17548761","Category","64","20180401201536"
"627","Category:Decision_trees","17594154","Category","216","20190620095815"
"628","Category:Binary_trees","17603043","Category","114","20190620095815"
"629","Category:Ontology_editors","17688744","Category","120","20190320202653"
"630","Category:PL/SQL_editors","17783029","Category","54","20190511234520"
"631","Category:Advanced_Encryption_Standard","17813725","Category","153","20190620095820"
"632","Category:Free_software_programmed_in_Delphi","18003273","Category","200","20190516182809"
"633","Category:Semantic_Web","18014783","Category","244","20190620095824"
"634","Category:Remote_procedure_call","18079622","Category","100","20190524130520"
"635","Category:Articles_with_example_BASIC_code","18275664","Category","107","20190429072551"
"636","Category:Cache_coherency","18542215","Category","99","20181009070639"
"637","Category:Perl_people","18548336","Category","255","20160426013156"
"638","Category:Video_game_programmers","18621851","Category","183","20190620095841"
"639","Category:Cloud_computing","18667762","Category","162","20190621154536"
"640","Category:Mathematical_morphology","18703731","Category","400","20190620095845"
"641","Category:SMT_solvers","18815498","Category","227","20180424211935"
"642","Category:Mathematical_optimization","18956829","Category","258","20190613163512"
"643","Category:Gnutella2","18962126","Category","90","20190122235248"
"644","Category:XNA_game_engines","18986473","Category","167","20181202035316"
"645","Category:Folksonomy","19081699","Category","103","20190320202654"
"646","Category:B-tree","19153597","Category","101","20190620095857"
"647","Category:R-tree","19153888","Category","157","20190620095857"
"648","Category:Normal_forms_(logic)","19237639","Category","163","20190524070058"
"649","Category:Distributed_version_control_systems","19256266","Category","396","20190421210757"
"650","Category:.NET_game_engines","19301654","Category","1174","20190606114900"
"651","Category:Graph_rewriting","19319946","Category","366","20180722120343"
"652","Category:Lossless_audio_codecs","19410942","Category","245","20190620095904"
"653","Category:Net-centric","19451413","Category","142","20190320202655"
"654","Category:LXDE","19503855","Category","380","20190620095906"
"655","Category:Numerical_integration_(quadrature)","19523140","Category","167","20190620095906"
"656","Category:JavaServer_Faces","19539605","Category","175","20190620095907"
"657","Category:Grid_computing_projects","19591315","Category","238","20190615005557"
"658","Category:Fortran","19630789","Category","340","20190620095909"
"659","Category:Fortran_software","19631196","Category","155","20190318165911"
"660","Category:Fortran_libraries","19631315","Category","144","20180421082505"
"661","Category:Pedagogic_integrated_development_environments","19761829","Category","671","20190620095913"
"662","Category:Free_web_development_software","19844557","Category","152","20190612023321"
"663","Category:OCaml_software","20047165","Category","209","20180427180952"
"664","Category:C++_software","20094310","Category","71","20190622132143"
"665","Category:Computational_statistics_journals","20098022","Category","118","20180420181755"
"666","Category:Google_Maps","20137205","Category","296","20190620095922"
"667","Category:Lake_groups","20208505","Category","80","20190620095924"
"668","Category:Incremental_computing","20274470","Category","131","20190320202655"
"669","Category:Free_software_programmed_in_Tcl","20370085","Category","182","20190516183137"
"670","Category:NIST_hash_function_competition","20382661","Category","83","20181027065810"
"671","Category:S60_(software_platform)","20387526","Category","207","20170928155626"
"672","Category:Office_Open_XML","20399432","Category","481","20190620095929"
"673","Category:Radar_signal_processing","20477892","Category","94","20190620095930"
"674","Category:Groups_(military_aviation)","20648538","Category","135","20181019204652"
"675","Category:Knowledge_bases","20750664","Category","417","20190409211518"
"676","Category:Lua_software","20768148","Category","133","20180403052546"
"677","Category:Lua-scripted_software","20768305","Category","25","20180912080221"
"678","Category:Lua-scriptable_software","20768327","Category","25","20190309213849"
"679","Category:Non-uniform_random_numbers","20817602","Category","157","20161207212530"
"680","Category:Free_Haskell_implementations","20841834","Category","172","20190516183212"
"681","Category:Natural_language_processing_toolkits","20891879","Category","200","20190623000536"
"682","Category:Lua-scriptable_hardware","20894814","Category","39","20180401230756"
"683","Category:Free_software_programmed_in_Lua","20895484","Category","200","20190516183217"
"684","Category:Programming_languages_created_in_1964","20935180","Category","191","20190624191504"
"685","Category:Programming_languages_created_in_the_1960s","20935185","Category","305","20190624191504"
"686","Category:Programming_languages_created_in_the_20th_century","20935195","Category","282","20190624191504"
"687","Category:Programming_languages_by_creation_date","20935202","Category","158","20190507002620"
"688","Category:Programming_languages_created_in_1990","20935223","Category","191","20190624191504"
"689","Category:Programming_languages_created_in_the_1990s","20935228","Category","305","20190624191504"
"690","Category:Programming_languages_created_in_1995","20935283","Category","191","20190624191504"
"691","Category:Programming_languages_created_in_1984","20935406","Category","211","20190624191504"
"692","Category:Programming_languages_created_in_the_1980s","20935412","Category","220","20190624191504"
"693","Category:Programming_languages_created_in_1986","20935497","Category","191","20190624191504"
"694","Category:Programming_languages_created_in_2000","20935541","Category","191","20190624191504"
"695","Category:Programming_languages_created_in_the_2000s","20935544","Category","291","20190624191504"
"696","Category:Programming_languages_created_in_the_21st_century","20935548","Category","248","20190624191504"
"697","Category:Programming_languages_created_in_2001","20935579","Category","191","20190624191504"
"698","Category:Programming_languages_created_in_1991","20935592","Category","211","20190624191504"
"699","Category:Programming_languages_created_in_1985","20935620","Category","211","20190624191504"
"700","Category:Programming_languages_created_in_the_1970s","20935696","Category","259","20190624191504"
"701","Category:Programming_languages_created_in_2003","20935715","Category","211","20190624191504"
"702","Category:Programming_languages_created_in_1996","20935721","Category","191","20190624191504"
"703","Category:Programming_languages_created_in_2006","20935732","Category","191","20190624191504"
"704","Category:Programming_languages_created_in_1966","20951480","Category","191","20190624191504"
"705","Category:Programming_languages_created_in_1962","20951528","Category","211","20190624191504"
"706","Category:Programming_languages_created_in_1967","20951709","Category","191","20190624191504"
"707","Category:Programming_languages_created_in_1978","20952374","Category","211","20190624191504"
"708","Category:Programming_languages_created_in_1983","20952555","Category","211","20190624191504"
"709","Category:Discontinued_Microsoft_BASICs","20952569","Category","131","20181011200630"
"710","Category:Discontinued_Microsoft_development_tools","20952572","Category","159","20181204050728"
"711","Category:Discontinued_development_tools","20952579","Category","92","20180420041450"
"712","Category:Knowledge_representation_software","20966976","Category","71","20181212022035"
"713","Category:Distributed_bug_tracking_systems","20975390","Category","166","20180403052548"
"714","Category:Hackers","20980952","Category","117","20190615095856"
"715","Category:Video_game_engine_templates","20992202","Category","175","20190519233023"
"716","Category:Software_using_distributed_version_control","20994365","Category","325","20190504051902"
"717","Category:Video_games_by_game_engine","20997094","Category","162","20190622111023"
"718","Category:OpenGL","21014041","Category","157","20190620095945"
"719","Category:GPGPU","21014416","Category","226","20190320202655"
"720","Category:Discontinued_BASICs","21031517","Category","95","20180420041438"
"721","Category:Programming_languages_created_in_1981","21031657","Category","211","20190624191504"
"722","Category:Visual_novel_engines","21070445","Category","58","20180415082317"
"723","Category:Transient_response_characteristics","21092053","Category","30","20180413181614"
"724","Category:Rich_Internet_application_frameworks","21114033","Category","115","20190308174345"
"725","Category:Agent-based_software","21145129","Category","82","20171016174204"
"726","Category:Object-relational_mapping","21160015","Category","151","20190619112416"
"727","Category:Free_software_programmed_in_BASIC","21175090","Category","183","20190516183237"
"728","Category:Lisp-based_operating_systems","21305844","Category","215","20181202131942"
"729","Category:Objective-C","21314173","Category","126","20190620095953"
"730","Category:Language_of_flowers","21356883","Category","102","20190320202655"
"731","Category:Video_game_engines","21367565","Category","366","20190622111023"
"732","Category:Voice_technology","21369637","Category","235","20190620095957"
"733","Category:C_software","21393558","Category","92","20181124154954"
"734","Category:Markov_chain_Monte_Carlo","21407782","Category","117","20190320202655"
"735","Category:Morse_code","21408706","Category","336","20190620095959"
"736","Category:Quantum_Monte_Carlo","21491721","Category","32","20180422212413"
"737","Category:Light-emitting_diodes","21606199","Category","242","20190620100004"
"738","Category:Lua-scriptable_game_engines","21773704","Category","68","20190226152027"
"739","Category:Welsh_computer_programmers","21790189","Category","151","20190311123958"
"740","Category:Join_algorithms","21812900","Category","121","20171213023751"
"741","Category:External_memory_algorithms","21813091","Category","155","20190214203949"
"742","Category:Free_physics_software","21850238","Category","72","20180510154249"
"743","Category:Generating_functions","21872102","Category","189","20170324233042"
"744","Category:Free_software_programmed_in_Pascal","21937908","Category","246","20190516183334"
"745","Category:Free_software_primarily_written_in_assembly_language","21951810","Category","270","20190516183334"
"746","Category:Free_software_programmed_in_Ada","21952532","Category","205","20190516183334"
"747","Category:Quantum_Lattice_models","22045003","Category","59","20180417164523"
"748","Category:Free_software_programmed_in_Ruby","22061083","Category","311","20190620100017"
"749","Category:First_order_methods","22120330","Category","328","20180421061303"
"750","Category:Archive_networks","22121073","Category","31","20190127160227"
"751","Category:Free_software_programmed_in_PHP","22158469","Category","264","20190624002803"
"752","Category:C_standard_library_headers","22166469","Category","62","20181027210233"
"753","Category:Israeli_computer_programmers","22299073","Category","195","20190620100023"
"754","Category:Time–frequency_analysis","22356883","Category","177","20190620100024"
"755","Category:Matrix_decompositions","22476294","Category","99","20190320202656"
"756","Category:Recursion_schemes","22479845","Category","58","20180713131419"
"757","Category:Programmers_who_committed_suicide","22489303","Category","140","20190614111005"
"758","Category:Cluster_analysis","22532673","Category","192","20190620100029"
"759","Category:Symbian_OS","22533699","Category","185","20190620100029"
"760","Category:Recursion","22601667","Category","279","20190621164555"
"761","Category:Agent-oriented_programming_languages","22624730","Category","223","20180416111537"
"762","Category:Finite_element_software","22650817","Category","148","20190508015738"
"763","Category:Probabilistic_data_structures","22686575","Category","128","20190529114615"
"764","Category:Primitive_types","22687270","Category","141","20190502220800"
"765","Category:Composite_data_types","22747954","Category","112","20190417011932"
"766","Category:User_BASIC","22798054","Category","39","20190619145439"
"767","Category:Constraint_programming","22968506","Category","93","20190529114620"
"768","Category:Pattern_matching_programming_languages","22984221","Category","215","20190529114620"
"769","Category:C_Sharp_software","23025756","Category","103","20181013160131"
"770","Category:C_Sharp_programming_language_family","23025814","Category","434","20190620100043"
"771","Category:Group_theory","23087655","Category","292","20190529114624"
"772","Category:Hornbostel–Sachs","23141738","Category","135","20190624204355"
"773","Category:Digital_audio_workstation_software","23143070","Category","318","20190620100045"
"774","Category:Heuristic_algorithms","23173987","Category","80","20190320202656"
"775","Category:Articles_with_example_Tcl_code","23175760","Category","88","20180416191446"
"776","Category:Free_software_programmed_in_Haskell","23259922","Category","262","20190520051927"
"777","Category:Estonian_computer_programmers","23345350","Category","158","20190620100049"
"778","Category:Researchers_in_distributed_computing","23434140","Category","302","20190220043407"
"779","Category:Minimum_Information_Standards","23474509","Category","112","20190320202656"
"780","Category:ICL_programming_languages","23493428","Category","145","20190320202656"
"781","Category:Video_game_development_competitions","23517996","Category","223","20190215005651"
"782","Category:Gecko-based_software","23529558","Category","181","20190620100055"
"783","Category:Peer-to-peer_computing","23545030","Category","146","20190620100055"
"784","Category:Distributed_computing_architecture","23786379","Category","795","20190330193058"
"785","Category:Applications_of_distributed_computing","23786744","Category","89","20181212161301"
"786","Category:Distributed_computing_problems","23787112","Category","789","20190528135059"
"787","Category:DOS_text_editors","23880460","Category","108","20190126085213"
"788","Category:Knowledge_representation_languages","23890667","Category","316","20190404223929"
"789","Category:Domain-specific_knowledge_representation_languages","23892759","Category","105","20181004024504"
"790","Category:Silverlight","23917746","Category","228","20190620100110"
"791","Category:Broken_stream_ciphers","24095976","Category","405","20190604141747"
"792","Category:Broken_cryptography_algorithms","24095977","Category","113","20181010000506"
"793","Category:Broken_block_ciphers","24096072","Category","539","20181015082322"
"794","Category:Broken_hash_functions","24096419","Category","195","20181009234910"
"795","Category:Programming_principles","24155035","Category","454","20190612063051"
"796","Category:Concurrency_control_algorithms","24182146","Category","136","20190403013240"
"797","Category:Software_optimization","24280247","Category","124","20190524111212"
"798","Category:Python-scripted_video_games","24327097","Category","120","20190508165450"
"799","Category:Logic_programming_researchers","24525021","Category","330","20180621232910"
"800","Category:Time_formatting_and_storage_bugs","24617560","Category","96","20190322025112"
"801","Category:Timecodes","24647997","Category","82","20190620100137"
"802","Category:Swiss_computer_programmers","24882259","Category","216","20190620100144"
"803","Category:Software_that_uses_Qt","24951081","Category","269","20190603044933"
"804","Category:Statistical_outliers","24960643","Category","121","20190320202657"
"805","Category:Programming_languages_created_in_2009","25047013","Category","211","20190624191520"
"806","Category:String_data_structures","25156734","Category","202","20190529114743"
"807","Category:Code_navigation_tools","25185985","Category","215","20190211091035"
"808","Category:Ontology_languages","25225317","Category","228","20190320202657"
"809","Category:Computational_topology","25230376","Category","226","20190320202657"
"810","Category:Computational_geometry","25230402","Category","304","20190620100152"
"811","Category:Linear_programming","25292883","Category","114","20190613163334"
"812","Category:Distributed_data_storage","25382808","Category","383","20190504060111"
"813","Category:Tone,_EQ_and_filter","25543679","Category","87","20190529114756"
"814","Category:Dynamics_processing","25543688","Category","30","20170210232555"
"815","Category:Audio_transducers","25543811","Category","106","20190620100201"
"816","Category:Audio_mixing","25549149","Category","167","20190624203241"
"817","Category:Computational_biology","25555499","Category","263","20190623175727"
"818","Category:Capacity-approaching_codes","25572778","Category","43","20171024023241"
"819","Category:Unix_process-_and_task-management-related_software","25606626","Category","59","20190406023615"
"820","Category:Unix_programming_tools","25609184","Category","66","20190504125313"
"821","Category:Massively_parallel_computers","25626464","Category","960","20190620100202"
"822","Category:Link_analysis","25645983","Category","70","20190406035327"
"823","Category:Free_software_programmed_in_Scala","25753123","Category","99","20190413160603"
"824","Category:Visual_Studio_extensions","25900676","Category","36","20190520124531"
"825","Category:BASIC_interpreters","26158712","Category","399","20190612051014"
"826","Category:Unified_Modeling_Language_stubs","26184860","Category","204","20190419170626"
"827","Category:ALGOL_68_implementation","26213616","Category","419","20190320202657"
"828","Category:Ontology_(information_science)","26259157","Category","176","20190620100220"
"829","Category:Video_acceleration","26271826","Category","95","20171223144348"
"830","Category:Graph_drawing","26354762","Category","383","20190312134703"
"831","Category:Line_editor","26396163","Category","50","20190320202658"
"832","Category:Programming_languages_created_in_1994","26402392","Category","191","20190624191524"
"833","Category:Fortran_programming_language_family","26414916","Category","244","20190620100226"
"834","Category:Programming_languages_created_in_1999","26532126","Category","191","20190624191524"
"835","Category:GTK","26540470","Category","269","20190620100229"
"836","Category:Programming_languages_created_in_1972","26752669","Category","211","20190624191525"
"837","Category:Electronic_structure_methods","26776867","Category","258","20190529114831"
"838","Category:JavaScript","26863204","Category","314","20190529114835"
"839","Category:MUD_programming_languages","26894144","Category","86","20190320202658"
"840","Category:POSIX_error_codes","26895127","Category","101","20180402020823"
"841","Category:C++_Standard_Library","26924724","Category","83","20190320202658"
"842","Category:Persistence_frameworks","26974489","Category","57","20180919034024"
"843","Category:Approximation_theorists","26982076","Category","134","20190320202658"
"844","Category:Stochastic_optimization","27126463","Category","146","20190523011423"
"845","Category:Building_information_modeling","27233177","Category","310","20190622100426"
"846","Category:Programming_languages_created_in_the_1950s","27336928","Category","306","20190624191527"
"847","Category:Sparse_matrices","27462792","Category","114","20190320202658"
"848","Category:IPhone_video_game_engines","27483416","Category","395","20190311192421"
"849","Category:Programming_languages_conferences","27677783","Category","216","20180426052435"
"850","Category:XML_software","27707910","Category","62","20190624212712"
"851","Category:Mozilla_add-ons","27738638","Category","393","20190620100307"
"852","Category:Database_index_techniques","27853925","Category","196","20190614162249"
"853","Category:Planar_graphs","28029415","Category","135","20190620100316"
"854","Category:Amiga_APIs","28066568","Category","123","20180416161053"
"855","Category:Pitch_modification_software","28072390","Category","66","20190309104213"
"856","Category:Battery_(electricity)","28080434","Category","174","20190620100317"
"857","Category:OCaml_programming_language_family","28134537","Category","137","20190323221621"
"858","Category:Electronic_filter_topology","28218732","Category","139","20190529114930"
"859","Category:EMV","28220706","Category","113","20190320202659"
"860","Category:Electronic_filter_applications","28223139","Category","50","20190529114930"
"861","Category:Signal_processing_filter","28226272","Category","136","20190529114930"
"862","Category:Speech_recognition_software","28228648","Category","175","20190320202659"
"863","Category:KDE_software","28282969","Category","270","20190423070929"
"864","Category:Nondeterministic_programming_languages","28285948","Category","174","20180914200138"
"865","Category:Eclipse_(software)","28367420","Category","101","20190620100327"
"866","Category:Signal_processing_metrics","28496388","Category","88","20170210232836"
"867","Category:KDE_Platform","28581719","Category","362","20190612053124"
"868","Category:Prototype-based_programming","28696171","Category","88","20190312134901"
"869","Category:Articles_about_multiple_people","28728704","Category","505","20190623171819"
"870","Category:Monte_Carlo_methodologists","28735928","Category","69","20181120191923"
"871","Category:Semantic_Web_companies","28747897","Category","140","20190413173654"
"872","Category:Signal_estimation","28857734","Category","108","20180817223109"
"873","Category:Algorithm_description_languages","28871963","Category","200","20181029020400"
"874","Category:Subroutines","28872387","Category","129","20190406072555"
"875","Category:Monte_Carlo_particle_physics_software","28888541","Category","109","20180410145714"
"876","Category:Dynamically_typed_programming_languages","28950678","Category","193","20190612193827"
"877","Category:Statically_typed_programming_languages","28951672","Category","165","20190621092630"
"878","Category:Discontinued_programming_languages","28970571","Category","157","20180420041459"
"879","Category:Time_series_software","28993102","Category","67","20190104131323"
"880","Category:Inductive_logic_programming","29003796","Category","74","20190312134919"
